Ans,Msg
"Зайдите в Личный кабинет и выберите «Тариф» или наберите бесплатную команду *105*3#","Как узнать, какой у меня тариф?"
"Выберите тариф под ваши интересы. На странице понравившегося тарифа нажмите кнопку «Перейти на тариф», на экране появятся способы перехода.\nВыберите новый тариф и перейдите на него в Личном кабинете.\nНаберите команду *105*3# и следуйте инструкциям на экране.\nВы можете перейти на любой тариф, кроме архивного. Узнайте стоимость перехода на странице выбранного тарифа.\nПри смене тарифа подключённые в рамках текущего тарифа пакеты минут, SMS и интернета «сгорят» и не будут действовать на новом тарифе, ранее списанная абонентская плата не пересчитывается.","Как сменить тариф?"
"Если закончились деньги на счёте и номер заблокирован, пополните свой баланс. Номер активируется после погашения долга.\nЕсли вы не пользовались номером более 90 дней, он может быть заблокирован. Чтобы восстановить номер, обратитесь с паспортом в салон МегаФона. Если номер за это время не передали другому абоненту, вы получите новую SIM-карту с прежним номером.\nУзнайте, можно ли восстановить номер, отправив бесплатное SMS на номер 0500 с номера МегаФона. В сообщении укажите номер, который хотите восстановить, ФИО владельца номера.\nЕсли номер заблокирован после потери SIM-карты, вы можете получить бесплатно новую SIM-карту с прежним номером, обратившись с паспортом в салон МегаФона.\nЕсли вы установили блокировку, то номер разблокируется автоматически в выбранный вами день окончания блокировки. Чтобы разблокировать номер раньше, снимите блокировку номера в Личном кабинете или обратитесь в ближайший салон МегаФона с паспортом.","Как разблокировать номер?"
"Вы можете бесплатно получить новую SIM-карту и продолжать пользоваться своим номером. Тариф и все условия обслуживания остаются прежними, заключать новый договор об оказании услуг связи не нужно.\nОбратитесь с паспортом в любой салон МегаФона в Домашнем регионе, на территории которого заключён договор. Чтобы узнать адрес ближайшего салона, наберите команду *123#.","Как получить новую SIM-карту, сохранив свой номер телефона?"
"Зайдите с устройства с SIM-картой МегаФона в Личный кабинет. Ваш номер телефона будет виден в верхней части экрана. Чтобы получить пароль от Личного кабинета для SIM-карты, используемой в модеме или роутере, переставьте SIM-карту в телефон и наберите команду *105*00#\nНаберите бесплатную команду: *205#. Номер отобразится на экране.","Как узнать свой номер телефона?"
"Номер остаётся вашим до тех пор, пока баланс положительный. Если вы не пользуетесь номером и не подключаете услугу блокировка, то не реже, чем раз в 90 дней вам нужно воспользоваться услугами связи (кроме входящих SMS и мобильных платежей/переводов). Если вы не пользуетесь услугами связи дольше 90 календарных дней подряд на тарифах для звонков и дольше 180 календарных дней подряд на тарифах для интернета, начинает ежедневно списываться абонентская плата за сохранение номера.\nРазмер абонентской платы за сохранение номера, условия её списания и срок, в конце которого договор об оказании услуг связи будет расторгнут и номер может перейти к другому абоненту, указан в описании вашего тарифа. Если вашего тарифа нет в разделе Все тарифы, найдите его в списке архивных тарифов.","Как сохранить за собой номер?"
"Исходящие звонки\nВходящие звонки\nОтправка SMS\nОтправка и приём MMS\nВыход в интернет\nТаким образом, если вы отвечаете на входящие звонки, то пользуетесь услугами связи.\nЕсли вы не пользуетесь услугами связи более 90 дней при нулевом или отрицательном балансе Лицевого счёта, договор считается расторгнутым по вашей инициативе. Если номер не был передан другому человеку, его можно восстановить, заполнив заявление в салоне МегаФона.\nЕсли вы планируете долгое время (более 90 дней) не пользоваться мобильной связью, заблокируйте свой номер.","Что считается использованием услуг связи?"
"Воспользуйтесь услугой Телефонные коды мобильных операторов. Введите интересующий мобильный номер в строке поиска и нажмите кнопку «Проверить». Под строкой поиска отобразятся названия оператора связи и регион.Наберите команду *629#. Введите в любом формате мобильный номер, который нужно проверить. Информация об операторе и регионе отобразится на экране.","Как узнать оператора и регион мобильного номера?"
"Обратитесь в ближайший салон МегаФона вместе с человеком, на которого будет переоформлен договор, и заполните заявление.","Как переоформить договор на другого человека?"
"Обратитесь в салон МегаФона, и консультант поможет вам подобрать номер из списка доступных.\nСтоимость смены номера и особенности предоставления услуги в вашем филиале указаны в описании услуги Смена абонентского номера.\nЗа дополнительную плату вы можете выбрать «красивый» запоминающийся номер, подробнее в описании услуги Выбор номера.","Как поменять номер телефона, не покупая новую SIM-карту?"
